年/月,排名,供應商名稱,累積核銷數量,累積核銷金額,累積服務時間(分),"累積平均服
務金額/分","去年度
累積核銷數量","去年度
累積核銷金額","去年度
累積服務時間(分)","去年累積平均服
務金額/分",年度服務成長YOY,"旅遊商品
https://lookerstudio.google.com/u/0/reporting/5589fbb7-1b6d-4acb-86a8-822358e09167/page/p_zcolv0g4hd",
2026/01,TOP1,Xpark,"16,769","8,889,532",855,"10,397",14,"5,720","1,091",5,198208.58%,"客服處理時間
https://lookerstudio.google.com/u/0/reporting/106b577a-eb1e-4fb2-ad09-4e50f1e3e81b/page/p_wyyn3me41d",
2026/01,TOP2,游客邦一航,"19,738","7,622,758",23,"331,424","12,579","3,931,633",0,0,100,,
2026/01,TOP3,貓空纜車,"17,174","4,617,656",287,"16,089","11,737","2,380,483",75,"31,740",-49.31%,,
2026/01,TOP4,頑皮世界野生動物園,"10,339","3,911,286",39,"100,289","5,395","1,649,403",0,,,,
2026/01,TOP5,國立故宮博物院北院,"14,786","3,700,552",10,"370,055","10,096","2,522,181",18,"140,121",164.10%,,
2026/01,TOP6,九九峰動物樂園,"5,903","2,775,762",0,0,"3,227","1,243,013",11,"113,001",-100.00%,,
2026/01,TOP7,綠世界生態農場,"9,131","2,547,644",5,"509,529","3,134","878,149",21,"41,817",1118.48%,,
2026/01,TOP8,台北101,"5,016","2,530,591",273,"9,270","4,354","2,320,258",36,"64,452",-85.62%,,
2026/01,TOP9,九族文化村,"6,461","2,407,129",71,"33,903","8,624","4,293,477",176,"24,395",38.98%,,
2026/01,TOP10,阿里山國家森林遊樂區,"13,993","2,238,575",152,"14,727","10,938","1,784,732",78,"22,881",-35.64%,,
2026/02,TOP1,九族文化村,"34,130","14,997,056",642,"23,360","21,933","12,999,987",367,"35,422",-34.05%,,
2026/02,TOP2,游客邦一航,"34,819","13,513,177",23,"587,529","27,761","8,688,350",0,0,100,,
2026/02,TOP3,奇美博物館,"34,899","12,793,112","6,417","1,994","4,073","842,507",419,"2,011",-0.85%,,
2026/02,TOP4,貓空纜車,"33,758","9,087,919",386,"23,544","21,206","4,285,802",91,"47,097",-50.01%,,
2026/02,TOP5,Xpark,"16,992","9,011,002","2,295","3,926",74,"39,760","2,048",19,20124.32%,,
2026/02,TOP6,頑皮世界野生動物園,"29,919","8,874,543",102,"87,005","21,206","4,285,802",265,"16,173",437.97%,,
2026/02,TOP7,九九峰動物樂園,"15,347","6,744,732",20,"337,237","5,967","2,316,093",21,"110,290",205.77%,,
2026/02,TOP8,國立故宮博物院北院,"25,957","6,386,973",25,"255,479","20,022","5,068,244",308,"16,455",1452.56%,,
2026/02,TOP9,阿里山國家森林遊樂區,"28,985","4,522,018",355,"12,738","18,753","3,040,802",179,"16,988",-25.02%,,
2026/02,TOP10,台北101,"8,687","4,405,214",501,"8,793","8,961","4,639,179",75,"61,856",-85.78%,,
2026/03,TOP1,奇美博物館,"61,907","24,496,071","8,513","2,877","6,368","1,281,878",658,"1,948",47.70%,,
2026/03,TOP2,游客邦一航,"53,974","21,130,703",23,"918,726","45,019","14,129,809",0,0,100%,,
2026/03,TOP3,九族文化村,"46,290","19,595,145",812,"24,132","30,838","18,074,652",460,"39,293",-38.58%,,
2026/03,TOP4,貓空纜車,"53,923","14,493,859",657,"22,061","31,745","6,514,108",197,"33,067",-33.28%,,
2026/03,TOP5,頑皮世界野生動物園,"35,459","10,382,940",127,"81,755","16,186","5,702,722",23,"247,944",-67.03%,,
2026/03,TOP6,國立故宮博物院北院,"38,723","9,846,660",59,"166,893","32,194","8,243,156",31,"265,908",-37.24%,,
2026/03,TOP7,阿里山國家森林遊樂區,"63,397","9,705,657","1,153","8,418","69,895","10,600,626",496,"21,372",-60.61%,,
2026/03,TOP8,Xpark,"17,103","9,072,090","2,930","3,096",196,"103,160","2,877",36,8535.12%,,8575.25%
2026/03,TOP9,九九峰動物樂園,"17,816","7,811,815",80,"97,648","7,961","3,123,846",24,"130,160",-24.98%,,
2026/03,TOP10,台北101,"14,784","7,479,826",625,"11,968","14,683","7,444,530",110,"67,678",-82.32%,,
2026/04,TOP1,,,,,,,,,,,,
2026/04,TOP2,,,,,,,,,,,,
2026/04,TOP3,,,,,,,,,,,,
2026/04,TOP4,,,,,,,,,,,,
2026/04,TOP5,,,,,,,,,,,,
2026/04,TOP6,,,,,,,,,,,,
2026/04,TOP7,,,,,,,,,,,,
2026/04,TOP8,,,,,,,,,,,,
2026/04,TOP9,,,,,,,,,,,,
2026/04,TOP10,,,,,,,,,,,,
2026/05,TOP1,,,,,,,,,,,,
2026/05,TOP2,,,,,,,,,,,,
2026/05,TOP3,,,,,,,,,,,,
2026/05,TOP4,,,,,,,,,,,,
2026/05,TOP5,,,,,,,,,,,,
2026/05,TOP6,,,,,,,,,,,,
2026/05,TOP7,,,,,,,,,,,,
2026/05,TOP8,,,,,,,,,,,,
2026/05,TOP9,,,,,,,,,,,,
2026/05,TOP10,,,,,,,,,,,,
2026/06,TOP1,,,,,,,,,,,,
2026/06,TOP2,,,,,,,,,,,,
2026/06,TOP3,,,,,,,,,,,,
2026/06,TOP4,,,,,,,,,,,,
2026/06,TOP5,,,,,,,,,,,,
2026/06,TOP6,,,,,,,,,,,,
2026/06,TOP7,,,,,,,,,,,,
2026/06,TOP8,,,,,,,,,,,,
2026/06,TOP9,,,,,,,,,,,,
2026/06,TOP10,,,,,,,,,,,,