年/月,排名,營收類型,供應商名稱,累積服務人次,累積營收金額,累積服務時間(分),"累積平均服
務金額/分","去年度
累積服務人次","去年度
累積營收金額","去年度
累積服務時間(分)","去年累積平均服
務金額/分",年度服務成長YOY,"導入處理時間
https://lookerstudio.google.com/u/0/reporting/106b577a-eb1e-4fb2-ad09-4e50f1e3e81b/page/p_wyyn3me41d"
2026/01,TOP1,分潤+專案,奇美博物館,"71,663","3,465,032",120,"28,875","11,968","11,464",100,115,25087.78%,"商務拓展課
https://lookerstudio.google.com/u/0/reporting/6c474b98-4501-4d7a-b1c4-2e2942373209/page/IwopF"
2026/01,TOP2,分潤,國立故宮博物院,"250,635","1,301,623","1,186","1,097","235,964","1,401,443","1,230","1,139",-3.68%,"2025 解決方案部
https://datastudio.google.com/u/0/reporting/20149afe-1e1e-488a-b4ad-8c79afe6c877/page/p_7q0pz3enpd"
2026/01,TOP3,分潤,Klook白標,92,"303,560",0,"303,560",0,"6,542",10,654,46301.71%,
2026/01,TOP4,分潤,九族文化村,"1,133","210,000",230,913,0,0,0,0,100%,
2026/01,TOP5,分潤,Xpark,"31,379","193,595",450,430,"25,043","176,229",320,551,-21.88%,
2026/01,TOP6,分潤,小人國,898,"169,073",30,"5,636","2,593",0,40,0,100%,
2026/01,TOP7,分潤,江賢二藝術文化園區,"7,144","94,807",30,"3,160",143,0,"1,370",0,100%,
2026/01,TOP8,分潤,芙洛麗精品飯店股份有限公司,477,"90,817",50,"1,816",533,"50,636",10,"5,064",-64.13%,
2026/01,TOP9,分潤,頑皮世界野生動物園,"26,837","77,799",60,"1,297","34,458","51,650",100,517,151.05%,
2026/01,TOP10,分潤,南投客運,"8,549","77,748",140,555,"10,336","73,510",120,613,-9.34%,
2026/02,TOP1,分潤+專案,奇美博物館,"210,617","4,209,622",290,"14,516","20,810","41,711",160,261,5468.20%,
2026/02,TOP2,分潤,國立故宮博物院,"470,074","2,562,883","5,308",483,"461,579","2,725,747","2,170","1,256",-61.56%,
2026/02,TOP3,專案,九九峰氦氣球樂園,"8,795","1,192,800","1,980",602,0,0,0,0,100%,
2026/02,TOP4,分潤+專案,芯浪沖浪樂園,0,"947,625",0,"947,625",0,0,0,0,100%,
2026/02,TOP5,分潤,Xpark,"56,874","359,216",590,609,"43,755","446,449",630,709,-14.08%,
2026/02,TOP6,分潤,Klook白標,262,"303,560",20,"15,178","2,882","111,542",10,"11,154",36.07%,
2026/02,TOP7,分潤,九族文化村,"4,095","210,000",560,375,0,0,130,0,100,
2026/02,TOP8,分潤,江賢二藝術文化園區,"12,791","192,512",50,"3,850","4,289","68,250","1,800",38,10054.48%,
2026/02,TOP9,分潤,小人國,"2,423","169,073",30,"5,636","3,577",0,140,0,#DIV/0!,
2026/02,TOP10,分潤,南投客運,"15,122","148,155",840,176,"22,509","123,524",160,772,-77.15%,
2026/03,TOP1,分潤+專案,奇美博物館,"332,637","5,315,054","1,110","4,788","28,285","94,751",220,431,1011.79%,
2026/03,TOP2,分潤,國立故宮博物院,"713,161","3,717,792","7,016",530,"701,759","3,938,346","3,850","1,023",-48.20%,
2026/03,TOP3,專案,九九峰氦氣球樂園,"23,810","1,192,800","2,280",523,0,0,0,0,100%,
2026/03,TOP4,分潤+專案,芯浪沖浪樂園,0,"947,625",0,"947,625",0,0,0,0,100%,
2026/03,TOP5,租賃,國立海洋科技博物館,"96,151","764,000",90,"8,489","88,142","944,000",70,"13,486",-37.05%,
2026/03,TOP6,租賃+專案,國家鐵道博物館,"44,584","756,000",190,"3,979",0,0,0,0,100%,
2026/03,TOP7,分潤,Xpark,"71,136","684,549",820,835,"57,342","687,817","1,070",643,29.87%,
2026/03,TOP8,專案,臺中市立美術館,0,"650,000",0,"650,000",0,0,0,0,100%,
2026/03,TOP9,專案,國立臺灣歷史博物館,0,"469,770",0,"469,770",0,0,0,0,100%,
2026/03,TOP10,分潤+租賃+專案,寶熊漁樂碼頭,"4,791","356,949",540,661,0,0,0,0,100%,
2026/04,TOP1,,,,,,,,,,,,
2026/04,TOP2,,,,,,,,,,,,
2026/04,TOP3,,,,,,,,,,,,
2026/04,TOP4,,,,,,,,,,,,
2026/04,TOP5,,,,,,,,,,,,
2026/04,TOP6,,,,,,,,,,,,
2026/04,TOP7,,,,,,,,,,,,
2026/04,TOP8,,,,,,,,,,,,
2026/04,TOP9,,,,,,,,,,,,
2026/04,TOP10,,,,,,,,,,,,
2026/05,TOP1,,,,,,,,,,,,
2026/05,TOP2,,,,,,,,,,,,
2026/05,TOP3,,,,,,,,,,,,
2026/05,TOP4,,,,,,,,,,,,
2026/05,TOP5,,,,,,,,,,,,
2026/05,TOP6,,,,,,,,,,,,
2026/05,TOP7,,,,,,,,,,,,
2026/05,TOP8,,,,,,,,,,,,
2026/05,TOP9,,,,,,,,,,,,
2026/05,TOP10,,,,,,,,,,,,
2026/06,TOP1,,,,,,,,,,,,
2026/06,TOP2,,,,,,,,,,,,
2026/06,TOP3,,,,,,,,,,,,
2026/06,TOP4,,,,,,,,,,,,
2026/06,TOP5,,,,,,,,,,,,
2026/06,TOP6,,,,,,,,,,,,
2026/06,TOP7,,,,,,,,,,,,
2026/06,TOP8,,,,,,,,,,,,
2026/06,TOP9,,,,,,,,,,,,
2026/06,TOP10,,,,,,,,,,,,